Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO,Value
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,19.89
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,19.63
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,42.80
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,29.91
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,20.21
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080901_4A,,19.83
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,19.95
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,18.84
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,18.84
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,19.62
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,53.37
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,33.52
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,18.87
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080901_4B,,20.14
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,3.82
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.36
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.32
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.08
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.44
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,3.04
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.56
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.84
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.85
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,3.49
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.47
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.86
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,3.26
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,3.28
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080901_S1,SEXO._T,2.74
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,5.41
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,2.56
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,2.61
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,2.50
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,2.96
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.93
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,2.94
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.18
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.66
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,4.51
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,2.70
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.34
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.29
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.78
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.03
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,1.86
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.11
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,1.98
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,1.60
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,1.82
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,1.95
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.11
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.44
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,1.90
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.27
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.20
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.31
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.22
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.69
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.41
