Year,Units,general.territorio,Serie,DIM_DES.SERVICIO,Value
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,48.01
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,46.03
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,46.36
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,48.47
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERVICIO._L_SERVICE_08,44.57
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,32.64
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,24.76
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,15.89
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,15.70
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,19.49
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,18.77
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,24.65
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,22.31
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,28.90
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,30.79
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,31.98
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,33.80
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,34.24
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERVICIO._L_SERVICE_09,33.06
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,30.78
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,36.88
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,25.48
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,31.40
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,35.20
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,28.25
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,41.88
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,35.87
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,40.58
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,48.96
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,44.08
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,41.50
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERVICIO._L_SERVICE_T,46.00
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,30.34
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,32.95
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,14.02
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,24.00
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,35.71
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,22.34
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,40.78
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,44.55
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,43.14
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,43.55
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,50.99
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,43.46
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERVICIO._L_SERVICE_01,46.54
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,34.04
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,40.66
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,18.02
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,28.97
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,41.51
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,23.58
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,39.25
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,29.36
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,45.71
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,67.46
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,58.39
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,48.19
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERVICIO._L_SERVICE_02,48.65
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,24.68
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,28.40
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERVICIO._L_SERVICE_03,21.28
