Year,Units,general.territorio,Serie,DIM_DES.TECNOLOGIA_ACCESO,Value
2020,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,35.41
2020,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,35.41
2021,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,36.56
2021,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,36.56
2010,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,21.74
2011,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,22.75
2012,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,22.47
2013,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,22.98
2014,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,21.14
2015,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,19.62
2016,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,17.13
2017,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,13.78
2018,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,9.46
2019,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_B,TECNOLOGIA_ACCESO._L_ACCESS_TECH_DSL,6.00
